team,rating
Sheffield United,1663.8136976140306
Burnley,1617.2308503061283
Luton,1616.6507559909053
Nott'm Forest,1569.6973862930208
Brentford,1558.0629421874985
Wolves,1538.8956756750413
Brighton,1527.5929659056944
Fulham,1522.671760082808
Bournemouth,1519.6763399935578
Everton,1512.4149541545712
West Ham,1509.8711234576267
Crystal Palace,1492.3349408329482
Newcastle,1476.0974710611147
Man United,1472.8045826519278
Tottenham,1462.3397680070752
Aston Villa,1446.106712458383
Chelsea,1436.1998921197137
Liverpool,1382.2960994365117
Arsenal,1345.8076360667135
Man City,1329.434445704729
