team,rating
Minnesota United FC,1537.3086209128815
Nashville SC,1533.9700626130302
San Jose Earthquakes,1529.0640654188146
Sporting Kansas City,1527.5560534776757
Philadelphia Union,1527.3629233898735
Chicago Fire FC,1524.759780436918
CF Montréal,1522.3875524638827
Houston Dynamo FC,1521.3176465723188
Portland Timbers,1518.48523105006
Toronto FC,1515.708964924857
Real Salt Lake,1513.038408396739
St. Louis City SC,1512.2207716198138
D.C. United,1508.0166762226702
Austin FC,1504.7124120551443
Columbus Crew,1502.2396271686873
New York City FC,1502.1516320234248
Los Angeles FC,1502.1448344265646
Charlotte FC,1497.9676376183509
Seattle Sounders FC,1497.94463861769
New York Red Bulls,1497.1447627157704
FC Dallas,1491.5346236851396
Atlanta United FC,1482.3876841572749
Orlando City SC,1474.7699612116285
Inter Miami CF,1474.084710437878
LA Galaxy,1473.9153249468307
FC Cincinnati,1462.8183712815808
Vancouver Whitecaps FC,1462.3375786677757
Colorado Rapids,1446.2926109131406
New England Revolution,1436.3568325735841
